@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 9\nSize of the tree: 11\n','Number of leaves: 4\nSize of the tree: 5\n','Number of leaves: 6\nSize of the tree: 7\n','Number of leaves: 12\nSize of the tree: 15\n'}
@attribute measureOutOfBagError numeric
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

solar-flare,1,10,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20200424.0238,960,106,106,0,0,100,0,0,1,0.005576,0.035409,115.074494,668.735772,1.115669,1.458979,-0.34331,0.010525,0.013764,-0.003239,-19.63052,-0.185194,-1759.528911,1,106,?,0,?,0,0,0,1,1,1,?,?,1,1,?,?,0,1,1,1,?,?,1,1,1,0.011,0.002,0.015625,0,15.625,0,246769,130974,17392,100,34.591195,?,-1,?,?,?
solar-flare,2,1,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20200424.0238,959,107,107,0,0,100,0,0,1,0.002304,0.018772,47.492696,354.165561,1.127369,0.583032,0.544338,0.010536,0.005449,0.005087,-10.791693,-0.100857,-957.245641,1,107,?,0,?,0,0,0,1,1,1,?,?,1,1,?,?,0,1,1,1,?,?,1,1,1,0.016,0.001,0,0,0,0,255485,130841,17525,100,33.956386,?,-1,?,?,?
solar-flare,2,2,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20200424.0238,959,107,106,1,0,99.065421,0.934579,0,0,0.006717,0.077413,65.061648,98.426958,8.866678,5.989027,2.877651,0.082866,0.055972,0.026894,-3.510698,-0.03281,-39.594285,1,106,1,1,0,0,0,0,0.990654,1,0.995305,?,0.990566,0.999912,0.990654,0.990654,0.009346,0.009346,?,0.990654,?,?,0.990478,0.993682,?,0.990654,0.012,0.001,0.015625,0,15.625,0,214687,130841,17525,99.065421,33.333333,?,-1,?,?,?
solar-flare,2,3,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20200424.0238,959,107,106,1,0,99.065421,0.934579,0,0,0.008938,0.080354,86.580763,102.165147,8.866678,1074.656213,-1065.789535,0.082866,10.043516,-9.96065,-19.615969,-0.183327,-221.232441,1,106,1,1,0,0,0,0,0.990654,1,0.995305,?,0.45283,0.989744,0.990654,0.990654,0.009346,0.009346,?,0.990654,?,?,0.45283,0.980581,?,0.990654,0.012,0,0.015625,0,15.625,0,176169,130841,17525,99.065421,34.267913,?,-1,?,?,?
solar-flare,2,4,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20200424.0238,959,107,105,2,0,98.130841,1.869159,0,-0.009434,0.010309,0.088116,99.856992,112.034433,8.866678,5.272129,3.594549,0.082866,0.049272,0.033594,-7.924669,-0.074062,-89.375846,0.990566,105,1,1,0,0,0.009434,1,0.990566,0.990566,0.990566,-0.009434,0.990566,0.999912,0.981308,0.990742,0.009258,0.018692,0.981308,0.981308,0.981308,-0.009434,0.990566,0.99524,0.495283,0.981308,0.016,0,0.015625,0,15.625,0,241962,130841,17525,100,34.267913,?,-1,?,?,?
solar-flare,2,5,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20200424.0238,959,107,106,1,0,99.065421,0.934579,0,0,0.007726,0.079588,74.832824,101.191364,8.866678,10.32856,-1.461881,0.082866,0.096529,-0.013662,-10.060165,-0.09402,-113.460357,1,106,1,1,0,0,0,0,0.990654,1,0.995305,?,0.886792,0.998883,0.990654,0.990654,0.009346,0.009346,?,0.990654,?,?,0.886792,0.990267,?,0.990654,0.011,0.001,0,0,0,0,209622,130841,17525,99.065421,33.64486,?,-1,?,?,?
solar-flare,2,6,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20200424.0238,959,107,106,1,0,99.065421,0.934579,0,0,0.01026,0.081788,99.195109,103.807422,10.866678,1075.092966,-1064.226288,0.101558,10.047598,-9.94604,-16.052137,-0.15002,-147.718891,1,106,1,1,0,0,0,0,0.990654,1,0.995305,?,0.981132,0.999823,0.990654,0.990654,0.009346,0.009346,?,0.990654,?,?,0.976636,0.990566,?,0.990654,0.011,0.001,0,0,0,0,246037,130841,17525,99.065421,34.890966,?,-1,?,?,?
solar-flare,2,7,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20200424.0238,960,106,106,0,0,100,0,0,1,0.002672,0.017395,55.133144,328.512683,1.115669,0.651362,0.464307,0.010525,0.006145,0.00438,-14.291236,-0.134823,-1280.956588,1,106,?,0,?,0,0,0,1,1,1,?,?,1,1,?,?,0,1,1,1,?,?,1,1,1,0.014,0.001,0,0,0,0,266920,130974,17392,100,34.27673,?,-1,?,?,?
solar-flare,2,8,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20200424.0238,960,106,106,0,0,100,0,0,1,0.003099,0.029342,63.942505,554.14582,1.115669,0.853943,0.261726,0.010525,0.008056,0.002469,-10.43086,-0.098404,-934.942088,1,106,?,0,?,0,0,0,1,1,1,?,?,1,1,?,?,0,1,1,1,?,?,1,1,1,0.024,0.001,0,0,0,0,251541,130974,17392,100,33.962264,?,-1,?,?,?
solar-flare,2,9,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20200424.0238,960,106,106,0,0,100,0,0,1,0.002208,0.017146,45.560242,323.825994,1.115669,0.544946,0.570723,0.010525,0.005141,0.005384,-11.833921,-0.111641,-1060.701736,1,106,?,0,?,0,0,0,1,1,1,?,?,1,1,?,?,0,1,1,1,?,?,1,1,1,0.017,0.001,0,0,0,0,250892,130974,17392,100,33.962264,?,-1,?,?,?
